Date,conso_moy_quot_MW_PCS0C
01/01/18,68634.8750
01/02/18,75736.4583
01/03/18,72138.6250
01/04/18,69112.3333
01/05/18,71145.0833
01/06/18,69885.7500
01/07/18,73331.7917
01/08/18,86974.0000
01/09/18,89133.0417
01/10/18,85947.2917
01/11/18,89775.0833
01/12/18,91889.2917
01/13/18,84307.3333
01/14/18,83324.6667
01/15/18,91714.0000
01/16/18,82174.5417
01/17/18,89771.5417
01/18/18,84139.3750
01/19/18,87899.2917
01/20/18,78862.2083
01/21/18,73030.0833
01/22/18,77254.4583
01/23/18,76741.6667
01/24/18,69364.2500
01/25/18,75533.7917
01/26/18,86189.6667
01/27/18,79472.1250
01/28/18,72517.2083
01/29/18,78287.4167
01/30/18,80656.7083
01/31/18,78284.5417
02/01/18,92308.2917
02/02/18,97499.3750
02/03/18,91893.7083
02/04/18,88254.2083
02/05/18,111154.5000
02/06/18,114347.6667
02/07/18,118269.8750
02/08/18,117430.3333
02/09/18,116488.6250
02/10/18,99279.5417
02/11/18,87633.0417
02/12/18,105991.9583
02/13/18,112011.6250
02/14/18,108259.0417
02/15/18,91671.3333
02/16/18,87854.1250
02/17/18,82428.2083
02/18/18,83225.3333
02/19/18,96754.2083
02/20/18,95859.7083
02/21/18,103510.5000
02/22/18,110372.1667
02/23/18,111814.0417
02/24/18,98344.1250
02/25/18,97080.4167
02/26/18,123031.1667
02/27/18,134399.6250
02/28/18,136736.5833
03/01/18,122345.5417
03/02/18,98745.7083
03/03/18,82364.7083
03/04/18,76584.9167
03/05/18,82648.4583
03/06/18,83448.2917
03/07/18,87310.8750
03/08/18,84079.0000
03/09/18,76551.7500
03/10/18,55366.1250
03/11/18,51036.0417
03/12/18,63413.3750
03/13/18,68674.4167
03/14/18,69025.1667
03/15/18,67512.4167
03/16/18,66621.4167
03/17/18,74402.7500
03/18/18,82908.7917
03/19/18,102439.7917
03/20/18,103992.0000
03/21/18,101309.2917
03/22/18,99508.9167
03/23/18,91723.9167
03/24/18,76827.5417
03/25/18,62965.7083
03/26/18,76707.2083
03/27/18,79795.9167
03/28/18,76054.9583
03/29/18,77890.1667
03/30/18,72489.7500
03/31/18,64896.0417
04/01/18,58621.6667
04/02/18,55409.7500
04/03/18,54839.2083
04/04/18,55137.8750
04/05/18,60573.2083
04/06/18,53412.6667
04/07/18,40667.4583
04/08/18,37891.4167
04/09/18,48077.7917
04/10/18,51035.1667
04/11/18,51064.0000
04/12/18,52994.2500
04/13/18,49981.2083
04/14/18,41112.7083
04/15/18,37648.0000
04/16/18,43608.6667
04/17/18,41596.1250
04/18/18,34125.2083
04/19/18,31520.1250
04/20/18,29070.3750
04/21/18,24907.1250
04/22/18,23590.3750
04/23/18,29214.2083
04/24/18,31824.3333
04/25/18,33023.8333
04/26/18,36207.2917
04/27/18,36305.9583
04/28/18,32839.1250
04/29/18,35211.4167
04/30/18,45893.1667
05/01/18,42805.0833
05/02/18,44931.9167
05/03/18,42755.0000
05/04/18,39068.4583
05/05/18,29737.2917
05/06/18,24624.6667
05/07/18,24751.2500
05/08/18,23962.4167
05/09/18,25941.7083
05/10/18,26109.8750
05/11/18,28190.3333
05/12/18,25806.0417
05/13/18,30265.7083
05/14/18,38579.8333
05/15/18,37432.1250
05/16/18,34566.4583
05/17/18,34121.8750
05/18/18,31984.2917
05/19/18,27190.3333
05/20/18,24466.9583
05/21/18,23850.0000
05/22/18,27229.5417
05/23/18,29019.3333
05/24/18,27976.0000
05/25/18,26881.8750
05/26/18,22340.4167
05/27/18,20614.4167
05/28/18,25613.7917
05/29/18,26598.3750
05/30/18,27886.0417
05/31/18,26401.8750
06/01/18,25413.5000
06/02/18,21910.4583
06/03/18,20570.6667
06/04/18,25295.4167
06/05/18,26845.8750
06/06/18,27783.9167
06/07/18,27988.0417
06/08/18,27352.1250
06/09/18,21235.7083
06/10/18,20165.5417
06/11/18,26128.6250
06/12/18,27468.0833
06/13/18,27773.1250
06/14/18,26983.7500
06/15/18,26736.5000
06/16/18,21875.4167
06/17/18,20730.3333
06/18/18,25233.3750
06/19/18,27589.0833
06/20/18,26796.9167
06/21/18,26004.2500
06/22/18,25999.8750
06/23/18,22896.5000
06/24/18,21753.9583
06/25/18,27288.5000
06/26/18,28114.4167
06/27/18,27531.5000
06/28/18,27786.1667
06/29/18,26086.5000
06/30/18,22191.9167
07/01/18,19880.4167
07/02/18,27782.8750
07/03/18,30786.7500
07/04/18,31583.3333
07/05/18,31360.5833
07/06/18,29925.6667
07/07/18,22262.4583
07/08/18,20524.4583
07/09/18,27859.6250
07/10/18,29765.7500
07/11/18,29946.9583
07/12/18,29909.4583
07/13/18,28790.2083
07/14/18,22471.4583
07/15/18,20515.6250
07/16/18,27737.2083
07/17/18,29127.6667
07/18/18,27752.7500
07/19/18,27712.5417
07/20/18,29175.1250
07/21/18,22449.9167
07/22/18,20831.4167
07/23/18,28363.8333
07/24/18,30343.7083
07/25/18,29653.2083
07/26/18,29127.2083
07/27/18,27960.8750
07/28/18,20308.6667
07/29/18,19130.6250
07/30/18,25837.7083
07/31/18,27081.1667
08/01/18,26860.2917
08/02/18,26668.2083
08/03/18,25618.3750
08/04/18,20992.4167
08/05/18,18975.1250
08/06/18,24077.0417
08/07/18,24653.0000
08/08/18,24123.9583
08/09/18,23360.5000
08/10/18,21862.9167
08/11/18,19526.8333
08/12/18,17921.5833
08/13/18,23528.9583
08/14/18,23950.5000
08/15/18,21825.4167
08/16/18,23894.9583
08/17/18,24552.9583
08/18/18,20394.5417
08/19/18,18516.8750
08/20/18,24831.7500
08/21/18,27071.0000
08/22/18,26944.0833
08/23/18,26602.6667
08/24/18,26929.5417
08/25/18,23953.2083
08/26/18,21187.7917
08/27/18,27086.0000
08/28/18,30475.2917
08/29/18,31008.5833
08/30/18,31814.7083
08/31/18,30915.3750
09/01/18,25251.0833
09/02/18,22455.9167
09/03/18,31038.8333
09/04/18,32094.0833
09/05/18,32502.2500
09/06/18,32621.9167
09/07/18,30740.7917
09/08/18,23797.6667
09/09/18,21786.6667
09/10/18,29758.2917
09/11/18,30743.4167
09/12/18,30948.0000
09/13/18,31636.0000
09/14/18,32112.4583
09/15/18,25336.0833
09/16/18,23018.8333
09/17/18,31928.8333
09/18/18,30918.9167
09/19/18,30459.2917
09/20/18,31519.8750
09/21/18,30434.9167
09/22/18,27853.6250
09/23/18,24379.8750
09/24/18,33260.7917
09/25/18,36123.7083
09/26/18,37471.2083
09/27/18,36318.2500
09/28/18,33942.0417
09/29/18,31090.2917
09/30/18,30093.3333
10/01/18,40201.1667
10/02/18,45083.5000
10/03/18,43228.0833
10/04/18,43339.2083
10/05/18,41275.0833
10/06/18,31400.1250
10/07/18,31757.7083
10/08/18,43360.2500
10/09/18,43915.9167
10/10/18,42879.3750
10/11/18,39815.6667
10/12/18,39076.3750
10/13/18,30981.2917
10/14/18,26188.8333
10/15/18,37000.9167
10/16/18,40815.8333
10/17/18,42273.7083
10/18/18,42578.1667
10/19/18,43829.2500
10/20/18,41781.4583
10/21/18,36583.1667
10/22/18,48410.6250
10/23/18,53900.8333
10/24/18,52442.2500
10/25/18,52046.9583
10/26/18,57478.3750
10/27/18,62205.4167
10/28/18,64502.7917
10/29/18,80797.8750
10/30/18,80663.4167
10/31/18,77460.8333
11/01/18,65646.2083
11/02/18,72032.4167
11/03/18,74511.7500
11/04/18,69996.2083
11/05/18,68446.5000
11/06/18,66059.7083
11/07/18,69128.2500
11/08/18,73790.2500
11/09/18,70084.2083
11/10/18,55940.6667
11/11/18,51942.5833
11/12/18,63170.6250
11/13/18,66110.7083
11/14/18,70773.2083
11/15/18,71780.8750
11/16/18,75813.9167
11/17/18,72234.0000
11/18/18,74735.5000
11/19/18,96863.4583
11/20/18,102192.0833
11/21/18,102611.0417
11/22/18,98554.3750
11/23/18,93307.5417
11/24/18,81736.3333
11/25/18,80564.9583
11/26/18,92427.3333
11/27/18,93120.1250
11/28/18,86255.2917
11/29/18,79747.4583
11/30/18,78346.1667
12/01/18,75810.1667
12/02/18,58686.5000
12/03/18,65460.5000
12/04/18,72180.1250
12/05/18,76282.6250
12/06/18,71530.8750
12/07/18,69358.2500
12/08/18,66877.5833
12/09/18,65033.1250
12/10/18,83173.7500
12/11/18,93466.6667
12/12/18,103547.4583
12/13/18,108163.2917
12/14/18,112634.8750
12/15/18,105990.3750
12/16/18,88186.0833
12/17/18,94258.6667
12/18/18,95807.0417
12/19/18,88025.1250
12/20/18,86378.7083
12/21/18,73566.0833
12/22/18,61519.2500
12/23/18,58268.2083
12/24/18,62041.2500
12/25/18,71776.0000
12/26/18,87622.6667
12/27/18,97202.2500
12/28/18,96806.1250
12/29/18,84384.1250
12/30/18,76602.7083
12/31/18,78980.8750
01/01/19,71417.7083
01/02/19,89381.0833
01/03/19,100601.1667
01/04/19,104784.0000
01/05/19,99400.1667
01/06/19,94849.7500
01/07/19,99682.0833
01/08/19,95254.2917
01/09/19,101869.5000
01/10/19,109792.0000
01/11/19,106186.1667
01/12/19,90564.6250
01/13/19,74500.4167
01/14/19,87758.2083
01/15/19,93905.2917
01/16/19,98147.2500
01/17/19,95637.7500
01/18/19,105954.2083
01/19/19,102876.3333
01/20/19,98380.8750
01/21/19,112752.2917
01/22/19,115307.5833
01/23/19,113404.0833
01/24/19,116350.3750
01/25/19,109493.6250
01/26/19,90351.0417
01/27/19,81522.0417
01/28/19,101562.3333
01/29/19,108378.1250
01/30/19,108531.9167
01/31/19,109546.2917
02/01/19,98584.4167
02/02/19,95002.7500
02/03/19,94619.1250
02/04/19,111077.8333
02/05/19,103912.3333
02/06/19,96871.1250
02/07/19,89994.2083
02/08/19,84836.1250
02/09/19,70449.9167
02/10/19,70871.3750
02/11/19,91766.1667
02/12/19,98480.6667
02/13/19,98787.8333
02/14/19,94455.0833
02/15/19,88830.5000
02/16/19,73767.2083
02/17/19,65064.8750
02/18/19,78743.9167
02/19/19,81958.1667
02/20/19,84347.2917
02/21/19,80342.6250
02/22/19,76893.0833
02/23/19,61651.3333
02/24/19,63829.1250
02/25/19,75230.0417
02/26/19,73330.9583
02/27/19,69470.0417
02/28/19,63082.8333
03/01/19,69898.4167
03/02/19,60050.7500
03/03/19,55946.1250
03/04/19,66236.1667
03/05/19,70732.9583
03/06/19,66644.1667
03/07/19,66437.1667
03/08/19,68642.7500
03/09/19,58323.8750
03/10/19,55042.3750
03/11/19,72993.0417
03/12/19,74855.0000
03/13/19,74012.7917
03/14/19,74650.3333
03/15/19,65659.3750
03/16/19,56125.7917
03/17/19,59903.3750
03/18/19,78031.2500
03/19/19,81668.7917
03/20/19,78648.0833
03/21/19,72525.1667
03/22/19,69141.8750
03/23/19,55466.5000
03/24/19,52897.7500
03/25/19,65452.9167
03/26/19,69958.7917
03/27/19,72220.6667
03/28/19,71149.2083
03/29/19,63441.0000
03/30/19,49168.9583
03/31/19,44817.5833
04/01/19,49488.2083
04/02/19,50887.2083
04/03/19,68617.7500
04/04/19,74491.3333
04/05/19,71401.8333
04/06/19,56321.6667
04/07/19,49410.5417
04/08/19,59767.0417
04/09/19,58661.0417
04/10/19,58870.6667
04/11/19,60400.4583
04/12/19,67647.4167
04/13/19,60294.5000
04/14/19,61151.8333
04/15/19,65748.6250
04/16/19,60195.5833
04/17/19,55573.1667
04/18/19,45173.7500
04/19/19,36107.1667
04/20/19,29629.8750
04/21/19,27496.3750
04/22/19,28036.5417
04/23/19,31838.1250
04/24/19,35483.9167
04/25/19,40570.9583
04/26/19,45439.1250
04/27/19,41068.2083
04/28/19,44718.5000
04/29/19,52995.6250
04/30/19,50797.3333
05/01/19,36513.2500
05/02/19,44577.7917
05/03/19,49377.8333
05/04/19,47913.4583
05/05/19,51400.2917
05/06/19,60583.3333
05/07/19,54885.2917
05/08/19,44400.9583
05/09/19,51271.4167
05/10/19,49791.2500
05/11/19,38940.8333
05/12/19,39266.3750
05/13/19,46789.2500
05/14/19,46030.2500
05/15/19,44598.7083
05/16/19,44134.8750
05/17/19,43473.6667
05/18/19,34230.0000
05/19/19,32329.7083
05/20/19,41965.0417
05/21/19,41275.9583
05/22/19,39307.2083
05/23/19,37413.0833
05/24/19,35399.2500
05/25/19,29527.9167
05/26/19,25248.5833
05/27/19,31453.7500
05/28/19,35930.2500
05/29/19,36843.3333
05/30/19,26406.7083
05/31/19,27905.7917
06/01/19,23318.7917
06/02/19,21269.8750
06/03/19,30420.4167
06/04/19,32733.6250
06/05/19,33415.9167
06/06/19,32364.9167
06/07/19,29956.4167
06/08/19,25629.9583
06/09/19,23589.2500
06/10/19,25795.6667
06/11/19,36563.2917
06/12/19,38306.3750
06/13/19,35606.5833
06/14/19,34161.5833
06/15/19,24401.0417
06/16/19,22431.8750
06/17/19,29629.0000
06/18/19,30068.5000
06/19/19,30008.0417
06/20/19,31456.2083
06/21/19,32211.8750
