journee_gaziere,qte_injectee_Mwh
2018-01-01,1057.6410
2018-01-02,1028.2900
2018-01-03,953.2330
2018-01-04,1045.0690
2018-01-05,1071.4630
2018-01-06,1082.4080
2018-01-07,1042.9560
2018-01-08,1011.3060
2018-01-09,1018.2610
2018-01-10,1069.0290
2018-01-11,1137.8560
2018-01-12,1189.1310
2018-01-13,1149.8290
2018-01-14,1128.6060
2018-01-15,1128.4160
2018-01-16,1131.9270
2018-01-17,1159.4890
2018-01-18,1204.0540
2018-01-19,1238.3050
2018-01-20,1180.2000
2018-01-21,1124.8500
2018-01-22,1143.7540
2018-01-23,1158.7810
2018-01-24,1178.0020
2018-01-25,1179.7820
2018-01-26,1156.7610
2018-01-27,1124.3750
2018-01-28,1134.5460
2018-01-29,1200.2920
2018-01-30,1250.0680
2018-01-31,1238.8950
2018-02-01,1266.5530
2018-02-02,1222.2770
2018-02-03,1155.8510
2018-02-04,1118.0920
2018-02-05,1179.8460
2018-02-06,1201.4740
2018-02-07,1225.5250
2018-02-08,1195.7420
2018-02-09,1195.0070
2018-02-10,1209.7290
2018-02-11,1127.3520
2018-02-12,1149.0360
2018-02-13,1145.8600
2018-02-14,1123.1740
2018-02-15,1095.9820
2018-02-16,1125.3460
2018-02-17,1096.6220
2018-02-18,1121.1890
2018-02-19,1083.0710
2018-02-20,1134.0790
2018-02-21,1114.5080
2018-02-22,1136.0560
2018-02-23,1164.3480
2018-02-24,1148.9130
2018-02-25,1035.8090
2018-02-26,1021.6030
2018-02-27,987.0240
2018-02-28,998.3970
2018-03-01,1318.6944
2018-03-02,1320.9381
2018-03-03,1323.1856
2018-03-04,1325.4369
2018-03-05,1327.6921
2018-03-06,1329.9511
2018-03-07,1332.2139
2018-03-08,1334.4806
2018-03-09,1336.7511
2018-03-10,1339.0255
2018-03-11,1341.3038
2018-03-12,1343.5860
2018-03-13,1345.8720
2018-03-14,1348.1619
2018-03-15,1350.4558
2018-03-16,1352.7535
2018-03-17,1355.0551
2018-03-18,1357.3607
2018-03-19,1359.6702
2018-03-20,1361.9836
2018-03-21,1364.3009
2018-03-22,1366.6222
2018-03-23,1368.9474
2018-03-24,1371.2766
2018-03-25,1373.6098
2018-03-26,1375.9469
2018-03-27,1378.2880
2018-03-28,1380.6331
2018-03-29,1382.9821
2018-03-30,1385.3352
