date,ln(qte),qte_injectee_Mwh
1,7.14636894855969,1269.488
2,7.19036551136986,1326.588
3,7.14085312153771,1262.505
4,7.15686049096301,1282.877
5,7.1663161659242,1295.065
6,7.21193747263151,1355.516
7,7.17679719820287,1308.71
8,7.16297639952696,1290.747
9,7.17542544223981,1306.916
10,7.21136261853379,1354.737
11,7.16989644164119,1299.71
12,7.23615430043709,1388.743
13,7.24348080831541,1398.955
14,7.19577079583515,1333.778
15,7.19894618825957,1338.02
16,7.18145505311337,1314.82
17,7.2048070682188,1345.885
18,7.18129151926055,1314.605
19,7.19122298344718,1327.726
20,7.23666902202547,1389.458
21,7.17775111799549,1309.959
22,7.16773516461483,1296.904
23,7.1285697200236,1247.092
24,7.1617174211951,1289.123
25,7.23783570285054,1391.08
26,7.25623231168311,1416.908
27,7.2667239902241,1431.852
28,7.23309289804515,1384.498
29,7.2286366065571,1378.342
30,7.19428368621804,1331.796
31,7.23040818122794,1380.786
32,7.19288309208918,1329.932
33,7.2183087945062,1364.18
34,7.20303491670349,1343.502
35,7.19550234932151,1333.42
36,7.20693722370171,1348.755
37,7.21958420536903,1365.921
38,7.20091059586772,1340.651
39,7.20185223202067,1341.914
40,7.17123123298608,1301.446
41,7.20631794253013,1347.92
42,7.19932129913463,1338.522
43,7.21239844539544,1356.141
44,7.18496116734417,1319.438
45,7.14983363015881,1273.894
46,7.20426898747439,1345.161
47,7.26412747709798,1428.139
48,7.29625868055459,1474.772
49,7.31670829725344,1505.241
50,7.27754830343025,1447.435
51,7.25163075813755,1410.403
52,7.20073603856399,1340.417
53,7.24422680131738,1399.999
54,7.24312762523136,1398.461
55,7.27205458347447,1439.505
56,7.1999986827273,1339.429
57,7.14789123811224,1271.422
58,7.21635406378916,1361.516
59,7.28817604598404,1462.9
60,7.27782737891853,1447.839
61,7.25145561555012,1410.156
62,7.28656493271911,1460.545
63,7.21747424560182,1363.042
64,7.19072878350613,1327.07
65,7.17821667303708,1310.569
66,7.11934999852106,1235.647
67,7.13878207570464,1259.893
68,7.16827245401437,1297.601
69,7.21267713863562,1356.519
70,7.18954578016109,1325.501
71,7.18663169519072,1321.644
72,7.20813612956598,1350.373
73,7.18504604836679,1319.55
74,7.22028165983497,1366.874
75,7.22870770394531,1378.44
76,7.19830548440543,1337.163
77,7.19610962540712,1334.23
78,7.19504102290614,1332.805
79,7.16327540645437,1291.133
80,7.0551100617801,1158.765
81,7.12818073963253,1246.607
82,7.19407942987562,1331.524
83,7.25097328309455,1409.476
84,7.26827322910415,1434.072
85,7.23892419209557,1392.595
86,7.21101341230994,1354.264
87,7.21257687699689,1356.383
88,7.2120562395361,1355.677
89,7.26002704313725,1422.295
90,7.2675058882095,1432.972
91,7.08032443533341,1188.354
92,7.0725007778336,1179.093
93,7.13520474651882,1255.394
94,7.15468097976044,1280.084
95,7.17170060061209,1302.057
96,7.20872764295798,1351.172
97,7.2497991082717,1407.822
98,7.28873027066287,1463.711
99,7.25681933343953,1417.74
100,7.29396145196674,1471.388
101,7.23996845868297,1394.05
102,7.33270466306448,1529.513
103,7.30108302642996,1481.904
104,7.29631224672221,1474.851
105,7.24867759927696,1406.244
106,7.15991301824303,1286.799
107,7.17457269037948,1305.802
108,7.26371076417248,1427.544
109,7.2953299703536,1473.403
110,7.20362052772941,1344.289
111,7.2526469722961,1411.837
112,7.20701655297644,1348.862
113,7.15307041410387,1278.024
114,7.20400578731584,1344.807
115,7.19987548831853,1339.264
116,7.26615114129105,1431.032
117,7.27835492272415,1448.603
118,7.2495739124054,1407.505
119,7.32539728021723,1518.377
120,7.29032562406611,1466.048
121,7.32749468942352,1521.565
122,7.24619201328501,1402.753
123,7.23889905884445,1392.56
124,7.28196704993509,1453.845
125,7.32513907648383,1517.985
126,7.27083327953047,1437.748
127,7.27481630040684,1443.486
128,7.2774363750422,1447.273
129,7.24497652074324,1401.049
130,7.29717027031154,1476.117
131,7.34727199417377,1551.957
132,7.28417735848133,1457.062
133,7.29802620458146,1477.381
134,7.24807866183948,1405.402
135,7.23110536699319,1381.749
136,7.30137989767908,1482.344
137,7.32600629784456,1519.302
138,7.27860685788083,1448.968
139,7.3378876335053,1537.461
140,7.31465935128456,1502.16
141,7.23613629838413,1388.718
142,7.27276568622059,1440.529
143,7.33359605278299,1530.877
144,7.32648535048766,1520.03
145,7.36945830332822,1586.774
146,7.3557452509053,1565.163
147,7.33278050132243,1529.629
148,7.34401014660334,1546.903
149,7.32998113766505,1525.353
150,7.31901821383025,1508.722
151,7.32352511058452,1515.537
152,7.27879180000413,1449.236
153,7.34756641774834,1552.414
154,7.34595536969992,1549.915
155,7.33753504208484,1536.919
156,7.31521107103025,1502.989
157,7.33954353954644,1540.009
158,7.3119762801768,1498.135
159,7.3239097187425,1516.12
160,7.3526462074128,1560.32
161,7.33283410765584,1529.711
162,7.31049668116871,1495.92
163,7.3321742883073,1528.702
164,7.30620651395533,1489.516
165,7.30501078029752,1487.736
166,7.35453761896029,1563.274
167,7.35442502839194,1563.098
168,7.35798723045275,1568.676
169,7.32897365029641,1523.817
170,7.32172478860285,1512.811
171,7.28327307605566,1455.745
172,7.31851965447081,1507.97
173,7.36582928236204,1581.026
174,7.36505480171255,1579.802
175,7.37778140797475,1600.036
176,7.26553391363014,1430.149
177,7.31231531096578,1498.643
178,7.30364872453324,1485.711
179,7.34694074457353,1551.443
180,7.40303549661265,1640.958
181,7.42430608258487,1676.236
182,7.38420682565679,1610.35
183,7.3404612947325,1541.423
184,7.3729216023059,1592.279
185,7.45379011905761,1726.394
186,7.45107732769546,1721.717
187,7.50047531035129,1808.902
188,7.48331134296805,1778.119
189,7.5123537195972,1830.517
190,7.48126890022246,1774.491
191,7.46139266037615,1739.569
192,7.50671594818584,1820.226
193,7.52014620568834,1844.837
194,7.48589388400928,1782.717
195,7.51054549230136,1827.21
196,7.53017683770995,1863.435
197,7.5016283838727,1810.989
198,7.46887336647171,1752.631
199,7.48326466333794,1778.036
200,7.49905022710014,1806.326
201,7.5474341699875,1895.872
202,7.50015019843916,1808.314
203,7.51942338745758,1843.504
204,7.50384570536434,1815.009
205,7.45607782333202,1730.348
206,7.47792941656734,1768.575
207,7.52835219660608,1860.038
208,7.53110372772261,1865.163
209,7.54727802911436,1895.576
210,7.52600810134481,1855.683
211,7.4151751096133,1661
212,7.42757235818558,1681.72
213,7.43764855413332,1698.751
214,7.4757025492455,1764.641
215,7.49839343008605,1805.14
216,7.47919573628136,1770.816
217,7.46622870037959,1748.002
218,7.44339389833608,1708.539
219,7.43373332280614,1692.113
220,7.41929065081737,1667.85
221,7.47151276395154,1757.263
222,7.52823337477015,1859.817
223,7.556536170591,1913.207
224,7.548141773272,1897.214
225,7.50569192477303,1818.363
226,7.5146913077414,1834.801
227,7.51171981797171,1829.357
228,7.49441352968658,1797.97
229,7.47474382124697,1762.95
230,7.54978757029202,1900.339
231,7.53988254085613,1881.609
232,7.50551372665255,1818.039
233,7.50170016527737,1811.119
234,7.46985027684959,1754.344
235,7.51922103490504,1843.131
236,7.49660804206625,1801.92
237,7.47252973806369,1759.051
238,7.49017199593186,1790.36
239,7.4726576397626,1759.276
240,7.45760640454122,1732.995
241,7.49620061580116,1801.186
242,7.50364458420966,1814.644
243,7.50754681838203,1821.739
244,7.52412670124003,1852.195
245,7.56903504450353,1937.27
246,7.51284034890697,1831.408
247,7.46511824550563,1746.062
248,7.51034790381076,1826.849
249,7.52286307720501,1849.856
250,7.56557212902717,1930.573
251,7.51069707805554,1827.487
252,7.48361779967585,1778.664
253,7.49328940883096,1795.95
254,7.49696260093964,1802.559
255,7.49747895555417,1803.49
256,7.55647396942772,1913.088
257,7.5753682178813,1949.578
258,7.54706224028268,1895.167
259,7.53246568340545,1867.705
260,7.52475171003101,1853.353
261,7.50306579085084,1813.594
262,7.58120625658263,1960.993
263,7.5784180695326,1955.533
264,7.60085745852955,1999.91
265,7.64472458915307,2089.593
266,7.64891851464258,2098.375
267,7.61874090419192,2035.997
268,7.58004494604905,1958.717
269,7.57390323877525,1946.724
270,7.58556646198656,1969.562
271,7.60958317289074,2017.437
272,7.56550893335678,1930.451
273,7.57944641610647,1957.545
274,7.59293530589239,1984.129
275,7.57205381008235,1943.127
276,7.54919381575102,1899.211
277,7.55574190037974,1911.688
278,7.6380946743754,2075.785
279,7.65012205530209,2100.902
280,7.62507591300243,2048.936
281,7.62065018337031,2039.888
282,7.59822939007308,1994.661
283,7.60674436235071,2011.718
284,7.58814492718315,1974.647
285,7.56313568890194,1925.875
286,7.6190669811696,2036.661
287,7.62897034509423,2056.931
288,7.62465023567113,2048.064
289,7.57577540259443,1950.372
290,7.61457703489827,2027.537
291,7.64450969168442,2089.144
292,7.61010498610683,2018.49
293,7.61727224057379,2033.009
294,7.57233887690518,1943.681
295,7.53065916374326,1864.334
296,7.57226272982397,1943.533
297,7.59317669251102,1984.608
298,7.63456448253306,2068.47
299,7.63095968124133,2061.027
300,7.64702144022775,2094.398
301,7.67371834731418,2151.065
302,7.63869571205033,2077.033
303,7.62923235164298,2057.47
304,7.58517492775392,1968.791
305,7.60738291595165,2013.003
306,7.61446802971351,2027.316
307,7.67282117988904,2149.136
308,7.62154444036487,2041.713
309,7.54756866369406,1896.127
310,7.55754130658578,1915.131
311,7.57392327223113,1946.763
312,7.61886221331891,2036.244
313,7.64741574788162,2095.224
314,7.69321496900064,2193.415
315,7.62912736282711,2057.254
316,7.56032574743764,1920.471
317,7.58203610380686,1962.621
318,7.62387603445787,2046.479
319,7.60320730135235,2004.615
320,7.6155299542037,2029.47
321,7.67260292884223,2148.667
322,7.6770817136809,2158.312
323,7.65381933520796,2108.684
324,7.65713817004443,2115.694
325,7.6711237095964,2145.491
326,7.64663939592316,2093.598
327,7.65050277164352,2101.702
328,7.67284444478171,2149.186
329,7.67116658930438,2145.583
330,7.6397692639232,2079.264
331,7.62559897456386,2050.008
332,7.63551835601276,2070.444
333,7.613167930172,2024.682
334,7.6420194505466,2083.948
335,7.74510106708609,2310.227
336,7.73730136192793,2292.278
337,7.75326081983816,2329.155
338,7.71034727308832,2231.317
339,7.71931685140674,2251.421
340,7.7175875593541,2247.531
341,7.68241331972134,2169.85
342,7.77441407249436,2378.949
343,7.78730194029034,2409.807
344,7.69918005040586,2206.538
345,7.71919158933344,2251.139
346,7.71971563109291,2252.319
347,7.72215192462822,2257.813
348,7.74176206013954,2302.526
349,7.71685537710906,2245.886
350,7.77289039120167,2375.327
351,7.72092964188324,2255.055
352,7.72938450062037,2274.202
353,7.73574667753415,2288.717
354,7.73238938867464,2281.046
355,7.72042664518337,2253.921
356,7.75287090287952,2328.247
357,7.74001419057566,2298.505
358,7.73087797502239,2277.601
359,7.71785581777799,2248.134
360,7.7152520521173,2242.288
361,7.70447658054668,2218.256
362,7.67321753971078,2149.988
363,7.7300491282995,2275.714
364,7.68332909263682,2171.838
365,7.68665713054076,2179.078
366,7.72365225152943,2261.203
367,7.74424580710963,2308.252
368,7.74354893330573,2306.644
369,7.77723109459963,2385.66
370,7.80826819313673,2460.865
371,7.78452858168717,2403.133
372,7.73182983966706,2279.77
373,7.76332015891626,2352.703
374,7.73791540950626,2293.686
375,7.72881534789042,2272.908
376,7.77303857034547,2375.679
377,7.80822511792415,2460.759
378,7.77847190960805,2388.622
379,7.73875998096262,2295.624
380,7.7849400431195,2404.122
381,7.77736438216271,2385.978
382,7.81013611526287,2465.466
383,7.80820195407098,2460.702
384,7.80036133013189,2441.484
385,7.78723429773102,2409.644
386,7.79923802161029,2438.743
387,7.81318079762584,2472.984
388,7.76696081786504,2361.284
389,7.72072918322252,2254.603
390,7.77777461193275,2386.957
391,7.77686383318336,2384.784
392,7.76378164913839,2353.789
393,7.74625007729446,2312.883
394,7.72057171516658,2254.248
395,7.75187910745527,2325.939
396,7.79256359966479,2422.52
397,7.79706158406486,2433.441
398,7.82075540273903,2491.787
399,7.75520341379186,2333.684
400,7.76961136653888,2367.551
401,7.75185030146982,2325.872
402,7.7900767327493,2416.503
403,7.77308276725915,2375.784
404,7.77675480269077,2384.524
405,7.7981241230166,2436.028
406,7.7475571142424,2315.908
407,7.7243494248229,2262.78
408,7.76494590138017,2356.531
409,7.77318251882732,2376.021
410,7.76195654167464,2349.497
411,7.78661035953172,2408.141
412,7.80068935547755,2442.285
413,7.81657739001183,2481.398
414,7.79515423410378,2428.804
415,7.76944916046838,2367.167
416,7.77105021540433,2370.96
417,7.75114494087229,2324.232
418,7.78099277897627,2394.651
419,7.80902658180643,2462.732
420,7.76406498188954,2354.456
421,7.75395782544628,2330.779
